satisfaction_key|energy_key|emotion|description|emoji|color|agrado|energia
5|2|"Fadigado"|"Descrição para Fadigado."|🙁|#3c26f1|"Baixo agrado"|"Baixa energia"
5|3|"Cansado"|"Descrição para Cansado."|🙁|#3c26f1|"Baixo agrado"|"Baixa energia"
5|4|"Entediado"|"Descrição para Entediado."|🙁|#3c26f1|"Baixo agrado"|"Baixa energia"
5|5|"Apático"|"Descrição para Apático."|🙁|#3c26f1|"Baixo agrado"|"Baixa energia"
1|6|"Repugnado"|"Descrição para Repugnado."|😟|#f32121|"Baixo agrado"|"Alta energia"
1|7|"Ansioso"|"Descrição para Ansioso."|😟|#f32121|"Baixo agrado"|"Alta energia"
1|8|"Irado"|"Descrição para Irado."|😟|#f32121|"Baixo agrado"|"Alta energia"
1|9|"Exasperado"|"Descrição para Exasperado."|😟|#f32121|"Baixo agrado"|"Alta energia"
1|10|"Enfurecido"|"Descrição para Enfurecido."|😟|#f32121|"Baixo agrado"|"Alta energia"
2|6|"Aflito"|"Descrição para Aflito."|😣|#f32121|"Baixo agrado"|"Alta energia"
2|7|"Apreensivo"|"Descrição para Apreensivo."|😣|#f32121|"Baixo agrado"|"Alta energia"
2|8|"Assustado"|"Descrição para Assustado."|😣|#f32121|"Baixo agrado"|"Alta energia"
2|9|"Enraivecido"|"Descrição para Enraivecido."|😣|#f32121|"Baixo agrado"|"Alta energia"
2|10|"Em pânico"|"Descrição para Em pânico."|😣|#f32121|"Baixo agrado"|"Alta energia"
3|6|"Receoso"|"Descrição para Receoso."|😟|#f32121|"Baixo agrado"|"Alta energia"
3|7|"Preocupado"|"Descrição para Preocupado."|😟|#f32121|"Baixo agrado"|"Alta energia"
3|8|"Zangado"|"Descrição para Zangado."|😟|#f32121|"Baixo agrado"|"Alta energia"
3|9|"Frustrado"|"Descrição para Frustrado."|😟|#f32121|"Baixo agrado"|"Alta energia"
3|10|"Estressado"|"Descrição para Estressado."|😟|#f32121|"Baixo agrado"|"Alta energia"
4|6|"Intranquilo"|"Descrição para Intranquilo."|😣|#f32121|"Baixo agrado"|"Alta energia"
4|7|"Irritado"|"Descrição para Irritado."|😣|#f32121|"Baixo agrado"|"Alta energia"
4|8|"Agitado"|"Descrição para Agitado."|😣|#f32121|"Baixo agrado"|"Alta energia"
4|9|"Tenso"|"Descrição para Tenso."|😣|#f32121|"Baixo agrado"|"Alta energia"
4|10|"Nervoso"|"Descrição para Nervoso."|😣|#f32121|"Baixo agrado"|"Alta energia"
5|6|"Invocado"|"Descrição para Invocado."|😟|#f32121|"Baixo agrado"|"Alta energia"
5|7|"Incomodado"|"Descrição para Incomodado."|😟|#f32121|"Baixo agrado"|"Alta energia"
5|8|"Inquieto"|"Descrição para Inquieto."|😟|#f32121|"Baixo agrado"|"Alta energia"
5|9|"Atordoado"|"Descrição para Atordoado."|😟|#f32121|"Baixo agrado"|"Alta energia"
5|10|"Em choque"|"Descrição para Em choque."|😟|#f32121|"Baixo agrado"|"Alta energia"
6|1|"Sonolento"|"Descrição para Sonolento."|😴|#04892d|"Alto agrado"|"Baixa energia"
6|2|"Gentil"|"Descrição para Gentil."|😴|#04892d|"Alto agrado"|"Baixa energia"
6|3|"Descontraído"|"Descrição para Descontraído."|😴|#04892d|"Alto agrado"|"Baixa energia"
6|4|"Calmo"|"Descrição para Calmo."|😴|#04892d|"Alto agrado"|"Baixa energia"
6|5|"À vontade"|"Descrição para À vontade."|😴|#04892d|"Alto agrado"|"Baixa energia"
7|1|"Complacente"|"Descrição para Complacente."|😫|#04892d|"Alto agrado"|"Baixa energia"
7|2|"Pensativo"|"Descrição para Pensativo."|😫|#04892d|"Alto agrado"|"Baixa energia"
7|3|"Relaxado"|"Descrição para Relaxado."|😫|#04892d|"Alto agrado"|"Baixa energia"
7|4|"Seguro"|"Descrição para Seguro."|😫|#04892d|"Alto agrado"|"Baixa energia"
7|5|"Pacato"|"Descrição para Pacato."|😫|#04892d|"Alto agrado"|"Baixa energia"
8|1|"Tranquilo"|"Descrição para Tranquilo."|😴|#04892d|"Alto agrado"|"Baixa energia"
8|2|"Pacífico"|"Descrição para Pacífico."|😴|#04892d|"Alto agrado"|"Baixa energia"
8|3|"Sossegado"|"Descrição para Sossegado."|😴|#04892d|"Alto agrado"|"Baixa energia"
8|4|"Satisfeito"|"Descrição para Satisfeito."|😴|#04892d|"Alto agrado"|"Baixa energia"
8|5|"Contente"|"Descrição para Contente."|😴|#04892d|"Alto agrado"|"Baixa energia"
9|1|"Acolhido"|"Descrição para Acolhido."|😫|#04892d|"Alto agrado"|"Baixa energia"
9|2|"Confortável"|"Descrição para Confortável."|😫|#04892d|"Alto agrado"|"Baixa energia"
9|3|"Abençoado"|"Descrição para Abençoado."|😫|#04892d|"Alto agrado"|"Baixa energia"
9|4|"Grato"|"Descrição para Grato."|😫|#04892d|"Alto agrado"|"Baixa energia"
9|5|"Amoroso"|"Descrição para Amoroso."|😫|#04892d|"Alto agrado"|"Baixa energia"
10|1|"Sereno"|"Descrição para Sereno."|😴|#04892d|"Alto agrado"|"Baixa energia"
10|2|"Despreocupado"|"Descrição para Despreocupado."|😴|#04892d|"Alto agrado"|"Baixa energia"
10|3|"Equilibrado"|"Descrição para Equilibrado."|😴|#04892d|"Alto agrado"|"Baixa energia"
10|4|"Emotivo"|"Descrição para Emotivo."|😴|#04892d|"Alto agrado"|"Baixa energia"
10|5|"Realizado"|"Descrição para Realizado."|😴|#04892d|"Alto agrado"|"Baixa energia"
6|6|"Agradável"|"Descrição para Agradável."|😁|#b5b739|"Alto agrado"|"Alta energia"
6|7|"Risonho"|"Descrição para Risonho."|😁|#b5b739|"Alto agrado"|"Alta energia"
6|8|"Energizado"|"Descrição para Energizado."|😁|#b5b739|"Alto agrado"|"Alta energia"
6|9|"Radiante"|"Descrição para Radiante."|😁|#b5b739|"Alto agrado"|"Alta energia"
6|10|"Surpreso"|"Descrição para Surpreso."|😁|#b5b739|"Alto agrado"|"Alta energia"
7|6|"Alegre"|"Descrição para Alegre."|😃|#b5b739|"Alto agrado"|"Alta energia"
7|7|"Concentrado"|"Descrição para Concentrado."|😃|#b5b739|"Alto agrado"|"Alta energia"
7|8|"Vibrante"|"Descrição para Vibrante."|😃|#b5b739|"Alto agrado"|"Alta energia"
7|9|"Bem-disposto"|"Descrição para Bem-disposto."|😃|#b5b739|"Alto agrado"|"Alta energia"
7|10|"Positivo"|"Descrição para Positivo."|😃|#b5b739|"Alto agrado"|"Alta energia"
8|6|"Esperançoso"|"Descrição para Esperançoso."|😁|#b5b739|"Alto agrado"|"Alta energia"
8|7|"Feliz"|"Descrição para Feliz."|😁|#b5b739|"Alto agrado"|"Alta energia"
8|8|"Animado"|"Descrição para Animado."|😁|#b5b739|"Alto agrado"|"Alta energia"
8|9|"Motivado"|"Descrição para Motivado."|😁|#b5b739|"Alto agrado"|"Alta energia"
8|10|"Festivo"|"Descrição para Festivo."|😁|#b5b739|"Alto agrado"|"Alta energia"
9|6|"Brincalhão"|"Descrição para Brincalhão."|😃|#b5b739|"Alto agrado"|"Alta energia"
9|7|"Orgulhoso"|"Descrição para Orgulhoso."|😃|#b5b739|"Alto agrado"|"Alta energia"
9|8|"Otimista"|"Descrição para Otimista."|😃|#b5b739|"Alto agrado"|"Alta energia"
9|9|"Inspirado"|"Descrição para Inspirado."|😃|#b5b739|"Alto agrado"|"Alta energia"
9|10|"Exultante"|"Descrição para Exultante."|😃|#b5b739|"Alto agrado"|"Alta energia"
10|6|"Bem-aventurado"|"Descrição para Bem-aventurado."|😁|#b5b739|"Alto agrado"|"Alta energia"
10|7|"Empolgado"|"Descrição para Empolgado."|😁|#b5b739|"Alto agrado"|"Alta energia"
10|8|"Entusiasmado"|"Descrição para Entusiasmado."|😁|#b5b739|"Alto agrado"|"Alta energia"
10|9|"Eufórico"|"Descrição para Eufórico."|😁|#b5b739|"Alto agrado"|"Alta energia"
10|10|"Extasiado"|"Descrição para Extasiado."|😁|#b5b739|"Alto agrado"|"Alta energia"
